delta_t,meanB,meanR,stdB,stdR,stderrB,stderrR
1.25e-08,10.0756845,2.01962095,11.9453832853,0.202416688536,2.67106890432,0.0452617475347
2.5e-08,15.2057645,2.2854831,18.0339839195,0.23335488146,4.0325213949,0.0521797377825
3.75e-08,24.237155,3.52201215,18.5265184839,0.410061512565,4.14265547164,0.0916925417052
5e-08,17.130993,2.39666265,17.0142619836,0.23731259122,3.80450463824,0.0530647085883
6.25e-08,9.0646185,2.10605355,13.4960551131,0.286554256037,3.01780966611,0.0640754795741
7.5e-08,8.2147575,2.1764216,15.3663671109,0.225279114044,3.43602414272,0.0503739412914
8.75e-08,9.229702,2.134397,12.0499993469,0.187143890717,2.69446176685,0.0418466461217
1e-07,11.18985,2.0491997,16.3025972106,0.254226679402,3.64537155727,0.0568468136836
1.125e-07,7.1209805,2.11109,9.70534564454,0.19454805984,2.17018126063,0.0435022686693
1.25e-07,5.118838,2.0870381,10.9409287395,0.146255921974,2.44646603986,0.0327038183645
1.375e-07,11.1917585,2.0601057,12.027459447,0.205726962512,2.68942169201,0.046001947298
1.5e-07,14.3185775,2.1053592,13.152473831,0.258239835186,2.94098255585,0.0577441825973
1.625e-07,16.204979,1.99781515,16.5464911906,0.188120984085,3.69990790913,0.0420651308407
1.75e-07,12.2088025,2.02764955,14.8748197209,0.218898304433,3.32611080489,0.0489471488871
1.875e-07,12.161966,2.1293385,13.4105905366,0.209337662307,2.99869920582,0.0468093243169
2e-07,9.048228,2.0929321,10.0086570494,0.188611539728,2.23800375259,0.0421748224172
2.25e-07,13.19463745,2.12762,12.113701681,0.145766862811,2.70870604178,0.0325944614112
2.5e-07,7.07244335,2.1515193,7.84903980754,0.191418351876,1.75509865678,0.0428024446936
2.75e-07,9.69714745,2.02514795,8.1764439314,0.162314314296,1.82830844448,0.0362945840486
3e-07,13.1924795,2.1144962,7.22250437886,0.141588595662,1.61500107589,0.0316601724739
3.25e-07,9.6474906,2.1061114,8.89652185453,0.207214700601,1.98932276301,0.0463346156482
3.5e-07,9.66979945,2.04231905,9.39133414384,0.109249551199,2.0999661545,0.0244289422992
3.75e-07,10.76521135,2.02944945,8.28671384024,0.203404641534,1.85296554569,0.0454826605409
3.999999e-07,7.571812,2.0883058,8.31547713505,0.166535844948,1.85939721393,0.0372385469995
4.5e-07,7.4397472,2.10904995,4.24311559871,0.145390014758,0.94878949151,0.0325101956249
4.999999e-07,7.87723095,2.091688,5.48778344778,0.0996180235876,1.2271056835,0.0222752672526
