delta_t,meanB,meanR,stdB,stdR
1.25E-08,1.29279815,1.239886,0.137393211,0.043986544
2.50E-08,1.4167851,1.29379855,0.166233628,0.063680504
3.75E-08,1.7596818,1.59574205,0.173755917,0.038143564
5.00E-08,1.4380897,1.34835755,0.187665105,0.051097317
6.25E-08,1.2878871,1.26572985,0.099118185,0.058910926
7.50E-08,1.3774049,1.2727817,0.115404572,0.051267883
8.75E-08,1.33458375,1.25046365,0.104276946,0.049461893
1.00E-07,1.35568335,1.2483413,0.098890857,0.051157769
1.13E-07,1.3245958,1.2405571,0.137052306,0.071382691
1.25E-07,1.29321685,1.27621605,0.128088949,0.052816844
1.38E-07,1.35152,1.26573745,0.126106518,0.044983185
1.50E-07,1.31220055,1.27036065,0.137677602,0.061490751
1.63E-07,1.3225135,1.276869,0.139379266,0.053546431
1.75E-07,1.33960425,1.25276825,0.150113872,0.059631139
1.88E-07,1.3558452,1.24329765,0.159245724,0.051922192
2.00E-07,1.36526793,1.2668881,0.146927097,0.066580402
2.25E-07,1.36374615,1.2894718,0.079352316,0.03804283
2.50E-07,1.3500676,1.2657994,0.091598328,0.052690804
2.75E-07,1.3603978,1.27031,0.09669832,0.052168994
3.00E-07,1.36030885,1.25002775,0.088358508,0.032336236
3.25E-07,1.36128615,1.2640642,0.087362666,0.051311924
3.50E-07,1.40771555,1.24774635,0.093401117,0.048923172
3.75E-07,1.3508193,1.26348305,0.096214882,0.044573591
4.00E-07,1.3813282,1.26494575,0.113597779,0.033905107
4.50E-07,1.35096955,1.2551111,0.081605287,0.031403055
5.00E-07,1.3659347,1.248264,0.055629811,0.024677183
5.50E-07,1.32895435,1.25562935,0.052115779,0.026138535
6.00E-07,1.36556325,1.24707165,0.074574821,0.027463984
6.50E-07,1.36280705,1.26032525,0.057664171,0.024455274
7.00E-07,1.33763935,1.258555,0.04971523,0.027509153
7.50E-07,1.33709675,1.264944,0.07223786,0.021686858
8.00E-07,1.3158004,1.2593147,0.069863251,0.031485377
9.00E-07,1.3465791,1.25977725,0.0488174,0.021725287
1.00E-06,1.3459256,1.25915935,0.051489787,0.020080471
1.10E-06,1.3318902,1.2530469,0.061745236,0.019346263
1.20E-06,1.33288155,1.255437,0.044136569,0.01950961
1.30E-06,1.33471985,1.2578775,0.04064665,0.018628272
1.40E-06,1.341219,1.2621592,0.042133259,0.016521397
1.50E-06,1.3320498,1.2515957,0.042990928,0.02347372
1.60E-06,1.3192691,1.24846155,0.049161803,0.015262305
1.80E-06,1.3252007,1.25099265,0.027159935,0.011558616
2.00E-06,1.3320657,1.25326645,0.035298162,0.010674102
2.20E-06,1.31989715,1.2513043,0.036167949,0.013639095
2.40E-06,1.30985945,1.25313075,0.027862428,0.009724038
2.60E-06,1.32132735,1.2464361,0.033710431,0.0126817
2.80E-06,1.3081408,1.245795,0.039646212,0.013689416
3.00E-06,1.32271225,1.24535515,0.030095004,0.015180241
3.20E-06,1.2987013,1.24050215,0.035250131,0.013656181
3.60E-06,1.312698,1.24226865,0.028583833,0.006813136
4.00E-06,1.31199005,1.24067675,0.022451392,0.010959245
4.40E-06,1.30431705,1.2437092,0.025351146,0.00968936
4.80E-06,1.2927754,1.24366355,0.027175652,0.008872597
5.20E-06,1.29790865,1.23705505,0.024423898,0.011045102
5.60E-06,1.28752825,1.2360656,0.01901515,0.012039978
6.00E-06,1.2858596,1.23649085,0.018431019,0.011338929
6.40E-06,1.27702945,1.23590405,0.020601395,0.006686922
7.20E-06,1.2762041,1.23086795,0.017645481,0.006629141
8.00E-06,1.27076955,1.22943535,0.015226506,0.008532722
8.80E-06,1.2632923,1.2303292,0.016394,0.006252342
9.60E-06,1.26753105,1.2253314,0.016618409,0.008607764
