delta_t,meanB,meanR,stdB,stdR
1.25E-08,1.1646464,1.14725805,0.070565417,0.032992765
2.50E-08,1.1938854,1.17832345,0.091545341,0.033830051
3.75E-08,1.34578775,1.337775,0.077224564,0.037068313
5.00E-08,1.2631079,1.18393895,0.10146788,0.037809562
6.25E-08,1.20015175,1.14623135,0.07222743,0.028302497
7.50E-08,1.18609325,1.12783105,0.074681003,0.025176264
8.75E-08,1.167996,1.1482274,0.054164368,0.027830946
1.00E-07,1.18595525,1.1457765,0.077813431,0.036758551
1.13E-07,1.1884282,1.14902585,0.075827017,0.022619031
1.25E-07,1.1922826,1.1474711,0.056421478,0.034037181
1.38E-07,1.1581938,1.1445133,0.081113738,0.02805442
1.50E-07,1.1764221,1.14126655,0.056171703,0.028251048
1.63E-07,1.19650339,1.13719305,0.074455677,0.029649821
1.75E-07,1.19035675,1.1510284,0.062121868,0.032134404
1.88E-07,1.17232385,1.1426598,0.065467828,0.030787549
2.00E-07,1.1929237,1.14319545,0.06716621,0.031711011
2.25E-07,1.15400235,1.1530913,0.046190818,0.016468011
2.50E-07,1.16188245,1.14886625,0.054451029,0.029200296
2.75E-07,1.17210695,1.14506775,0.046845836,0.017386851
3.00E-07,1.17198455,1.1354165,0.043880872,0.017863439
3.25E-07,1.1895587,1.14105305,0.042182517,0.022537326
3.50E-07,1.1668288,1.13850145,0.050515041,0.015559821
3.75E-07,1.16313245,1.14325715,0.051815572,0.02243585
4.00E-07,1.18078125,1.15174215,0.038042285,0.021158479
4.50E-07,1.18786275,1.15015855,0.034932578,0.011445054
5.00E-07,1.17083495,1.1475995,0.036631214,0.015146672
5.50E-07,1.17147985,1.15270085,0.036114379,0.021391811
6.00E-07,1.16698315,1.14623055,0.031601563,0.013360422
6.50E-07,1.18095735,1.1428168,0.036325183,0.015523221
7.00E-07,1.1634463,1.14027035,0.035990274,0.015329064
7.50E-07,1.17483965,1.14642045,0.034296798,0.01195139
8.00E-07,1.1669577,1.1455944,0.035605234,0.014579363
9.00E-07,1.1689047,1.142727,0.020221414,0.010526795
1.00E-06,1.17485645,1.1422135,0.01999485,0.00916113
1.10E-06,1.1740013,1.141101,0.023426331,0.008042373
1.20E-06,1.17067675,1.13601585,0.020222864,0.007501117
1.30E-06,1.156778,1.1408225,0.024308341,0.01209628
1.40E-06,1.1691842,1.1400141,0.023681488,0.007450465
1.50E-06,1.1615951,1.1388812,0.026212184,0.010455497
1.60E-06,1.16069665,1.13762155,0.017305896,0.007920181
1.80E-06,1.1680943,1.14084315,0.017510266,0.007758961
2.00E-06,1.16685155,1.14121895,0.011526024,0.009030425
2.20E-06,1.1663431,1.13836645,0.013442351,0.008319083
2.40E-06,1.1696624,1.1393548,0.010980749,0.007025839
2.60E-06,1.1561883,1.1405007,0.011279134,0.005991987
2.80E-06,1.1603246,1.1390434,0.013233919,0.007277662
3.00E-06,1.16122255,1.13741315,0.017457837,0.007299606
3.20E-06,1.1583207,1.13759875,0.017059524,0.006862776
3.60E-06,1.15763385,1.13429475,0.011068687,0.005773487
4.00E-06,1.15104555,1.1343768,0.012161242,0.003289362
4.40E-06,1.14793675,1.13336705,0.011218357,0.004969064
4.80E-06,1.1514246,1.13352615,0.011981499,0.004596748
5.20E-06,1.1421867,1.13283075,0.012699444,0.006010464
5.60E-06,1.14318115,1.1316707,0.010585137,0.004529734
6.00E-06,1.1454081,1.1329788,0.009127129,0.004940767
6.40E-06,1.14405685,1.1301583,0.010113603,0.005119126
7.20E-06,1.14059485,1.12961365,0.007981423,0.003456221
8.00E-06,1.13984705,1.1282456,0.007910158,0.003693278
8.80E-06,1.13385795,1.1275531,0.009164279,0.003967052
9.60E-06,1.1313242,1.1256154,0.007264038,0.00397804
1.04E-05,1.13324365,1.1247301,0.008518632,0.003788585
1.12E-05,1.12915575,1.12339185,0.007662174,0.003077843
1.20E-05,1.1250148,1.1224987,0.010165174,0.003773612
1.28E-05,1.1230877,1.1209956,0.010259145,0.00305122
1.44E-05,1.12102995,1.11914225,0.006502223,0.002332361
1.60E-05,1.115087,1.11709415,0.005605572,0.002749406
1.76E-05,1.11402515,1.1166456,0.006975869,0.002651913
1.92E-05,1.1109296,1.11253255,0.004886045,0.0026841
2.08E-05,1.10839785,1.11122945,0.004823176,0.00215343
2.24E-05,1.10515435,1.11036,0.005879013,0.002037428
2.40E-05,1.10022835,1.108516,0.005165817,0.002968519
2.56E-05,1.10040315,1.10646675,0.005848544,0.002396667
2.88E-05,1.09439385,1.10446065,0.002800802,0.001637099
3.20E-05,1.0918145,1.10101435,0.004390702,0.002087495
3.52E-05,1.08698185,1.0985826,0.002793129,0.002075039
3.84E-05,1.081549,1.0958561,0.004128979,0.00278513
4.16E-05,1.0783916,1.0938404,0.003213925,0.00197792
4.48E-05,1.07933935,1.09095065,0.003711134,0.00218184
4.80E-05,1.0748752,1.088869,0.004941262,0.002014327
5.12E-05,1.0719637,1.086745,0.003705901,0.001758163
5.76E-05,1.06776925,1.0826322,0.002619297,0.001543698
6.40E-05,1.0634042,1.07926585,0.002950392,0.001198048
7.04E-05,1.0616598,1.07542055,0.003529654,0.001605477
7.68E-05,1.0561994,1.0731081,0.003623366,0.001366545
8.32E-05,1.0540914,1.0701599,0.003038412,0.001193707
8.96E-05,1.05034905,1.0677133,0.002641846,0.001378214
9.60E-05,1.049909,1.0651048,0.002921903,0.001219459
0.0001024,1.04758675,1.0628487,0.003030261,0.001188076
0.0001152,1.04316335,1.05903935,0.001688525,0.000979533
0.000128,1.04030305,1.0551702,0.002246122,0.000767562
0.0001408,1.03728185,1.0523484,0.002141906,0.000924778
0.0001536,1.0344762,1.0496734,0.002451888,0.00087993
0.0001664,1.03263305,1.0470209,0.002105671,0.000924494
0.0001792,1.0306198,1.0447704,0.001865907,0.000792401
0.000192,1.02930945,1.04244615,0.002064704,0.000926223
0.0002048,1.02774695,1.0409084,0.00195356,0.000900339
0.0002304,1.0254816,1.03723555,0.001256057,0.000725309
0.000256,1.0226031,1.0344468,0.001583807,0.000791045
0.0002816,1.02084345,1.0319932,0.001267093,0.000591812
0.0003072,1.0191027,1.02987335,0.001232766,0.00067813
0.0003328,1.01850475,1.02782215,0.001215367,0.000697667
0.0003584,1.01742985,1.02601975,0.001252583,0.000446882
0.000384,1.0157196,1.02454125,0.001491337,0.000863838
0.0004096,1.0151367,1.0233659,0.001545265,0.000993457
0.0004608,1.01343585,1.0208809,0.001363508,0.000449119
0.000512,1.01270005,1.01895955,0.001090832,0.000401033
0.0005632,1.01115205,1.01752845,0.001020473,0.000596164
0.0006144,1.00980595,1.0161413,0.001144914,0.000508452
0.0006656,1.0098215,1.0150365,0.001331095,0.000592679
0.0007168,1.00881695,1.01408675,0.000886238,0.000517371
0.000768,1.0086009,1.0130363,0.000945278,0.000508527
0.0008192,1.00740835,1.0123558,0.001156325,0.00052179
0.0009216,1.0069421,1.0106295,0.000893805,0.000379779
0.001024,1.0061266,1.00977775,0.000766116,0.000573124
0.0011264,1.00544445,1.008842,0.000732241,0.000450338
0.0012288,1.00534905,1.0080818,0.000822119,0.000455614
0.0013312,1.00466785,1.007249,0.000877514,0.000350954
0.0014336,1.00461425,1.00676025,0.000787521,0.000461437
0.001536,1.00435475,1.00621,0.000981813,0.000508846
