delta_t,meanB,meanR,stdB,stdR
1.25E-08,1.5710882,1.5101645,0.280316696,0.138494822
2.50E-08,1.76284435,1.60768485,0.305824639,0.135919405
3.75E-08,2.37106165,2.21811955,0.34138253,0.156439432
5.00E-08,1.852199,1.77345585,0.261177096,0.121551661
6.25E-08,1.62582933,1.56780305,0.246509452,0.14355495
7.50E-08,1.6179681,1.5052649,0.251457432,0.124032292
8.75E-08,1.70088225,1.5421141,0.294368915,0.065845029
1.00E-07,1.7137382,1.5217722,0.23514612,0.105706258
1.13E-07,1.69938225,1.5596751,0.205406999,0.120319731
1.25E-07,1.6120764,1.53548965,0.232945341,0.10670649
1.38E-07,1.667699,1.55802095,0.301233671,0.160571103
1.50E-07,1.57165975,1.55506765,0.278615773,0.133067251
1.63E-07,1.5491016,1.53674405,0.218552273,0.138670773
1.75E-07,1.68046545,1.59977325,0.198843755,0.13594578
1.88E-07,1.654833415,1.5650299,0.338091039,0.12965082
2.00E-07,1.58659565,1.570479,0.325752617,0.12012014
2.25E-07,1.6848702,1.5805269,0.151860955,0.103368304
2.50E-07,1.621867,1.5756809,0.14750973,0.088879262
2.75E-07,1.629886,1.5351684,0.150735229,0.076529925
3.00E-07,1.61590885,1.55710115,0.174538609,0.085529884
3.25E-07,1.62048555,1.5810271,0.205439326,0.066568784
3.50E-07,1.5479439,1.56578565,0.189473411,0.090473014
3.75E-07,1.58842655,1.58233175,0.135535149,0.10477786
4.00E-07,1.6133351,1.5446452,0.214696672,0.098454855
4.50E-07,1.6166977,1.52131405,0.122028333,0.062484035
5.00E-07,1.61323005,1.54446315,0.12170844,0.079677264
5.50E-07,1.6509624,1.55556975,0.12587107,0.064486963
6.00E-07,1.6035158,1.54637705,0.135414941,0.059621224
6.50E-07,1.6261957,1.5558313,0.117204252,0.062740907
7.00E-07,1.617297,1.5620981,0.130386226,0.051996665
7.50E-07,1.6185713,1.54239025,0.165960767,0.067660186
8.00E-07,1.58491225,1.54304495,0.128697899,0.053487823
9.00E-07,1.6190464,1.5468294,0.093999995,0.048474222
1.00E-06,1.59892925,1.5347714,0.069095531,0.034381861
1.10E-06,1.59246735,1.54429035,0.104192827,0.04970215
1.20E-06,1.57413455,1.54429555,0.062146769,0.041116346
1.30E-06,1.59635545,1.53494105,0.099318379,0.024676631
1.40E-06,1.5514002,1.53900195,0.086266947,0.04781776
1.50E-06,1.57627235,1.536826,0.08772126,0.040759678
1.60E-06,1.59619825,1.54078945,0.077577927,0.042592438
1.80E-06,1.60139165,1.54259625,0.048763122,0.04068396
2.00E-06,1.5493903,1.53063935,0.064821021,0.031633972
2.20E-06,1.56655335,1.52778785,0.063196752,0.041546759
2.40E-06,1.5809788,1.51983365,0.071950729,0.027602541
2.60E-06,1.56202675,1.5269307,0.053951489,0.02875511
2.80E-06,1.575978,1.5086995,0.061862896,0.024026289
3.00E-06,1.56464165,1.5325646,0.060823491,0.028484632
3.20E-06,1.58105255,1.52339455,0.060536024,0.026803066
3.60E-06,1.54908495,1.5140331,0.051414179,0.026407615
4.00E-06,1.54307705,1.50987615,0.049023468,0.024467626
4.40E-06,1.55362825,1.51006305,0.046889193,0.020496479
4.80E-06,1.53592625,1.5100743,0.040933093,0.02506272
5.20E-06,1.51520815,1.5010414,0.024087572,0.020400768
5.60E-06,1.52058365,1.5017906,0.044530208,0.020716659
6.00E-06,1.539319,1.499172,0.043603236,0.02023095
6.40E-06,1.5083676,1.4915581,0.041328724,0.025334231
7.20E-06,1.4991221,1.50215575,0.025413733,0.016297394
