delta_t,meanAB,meanCD,meanCorr,stdAB,stdCD,stdCorr
1.25e-08,2.6091677407407405,2.0234322592592595,1.0958918722222222,0.2787279882545244,0.05716439689733886,0.09935806695258245
2.5e-08,7.359820000000002,2.2042113333333333,1.0956289537037038,0.5157076331545345,0.07886376535660865,0.08449878093426513
3.75e-08,8.848508444444445,2.67444737037037,1.1042492518518519,0.4879234402236219,0.07645921496053529,0.08060410945187078
5e-08,3.8435895925925916,2.0894166296296297,1.0910201833333333,0.34259452626308345,0.0629430519821353,0.09196277273680176
6.25e-08,2.5503467037037035,1.950354518518518,1.0977297814814815,0.3385797423463483,0.054414653952480276,0.09268407088125104
7.5e-08,2.6359087777777774,1.9398799629629635,1.0991939296296298,0.2579523165524308,0.07163340092364395,0.07627599602815602
8.75e-08,2.651134999999999,1.924728,1.1025263129629628,0.30104254951849013,0.05897152487932285,0.09432883109811684
1e-07,2.577337185185186,1.9380084444444445,1.115021177777778,0.2321937603082323,0.0679574244690684,0.09054894713950072
1.125e-07,2.4931650370370373,1.95046737037037,1.0697747685185186,0.27524052889501216,0.06742620151837236,0.09883991768688363
1.25e-07,2.6743363333333328,1.9262626296296295,1.0874042351851856,0.37681406849935556,0.07499416566005658,0.0866217732342338
1.375e-07,2.5505238518518523,1.9018278888888889,1.1066984074074075,0.28397250042444494,0.05771782420588744,0.10331514159810741
1.5e-07,2.5241264074074077,1.9180721851851854,1.077488477777778,0.28507441258084787,0.08737828310539861,0.09145397415568332
1.625e-07,2.573541814814815,1.9008892592592592,1.077014514814815,0.29018601995017135,0.06604544830846498,0.11561831848558528
1.75e-07,2.505678148148149,1.898516222222222,1.0918709796296295,0.25811551637830166,0.06644015299630819,0.08019935253890395
1.875e-07,2.505206259259259,1.9181534814814813,1.1017278685185183,0.2863862808815307,0.07313536515022719,0.08987780822611706
2e-07,2.6096237777777778,1.9163968888888891,1.1110401259259264,0.2567278494189595,0.0738067894810916,0.09745448642004387
2.25e-07,2.568613074074074,1.90058337037037,1.0828410277777778,0.23433309716724718,0.03904638936800227,0.06594423920626515
2.5e-07,2.5451490370370378,1.8950454074074068,1.091352118518518,0.2108025423118677,0.05240994108787015,0.06233677071224902
2.75e-07,2.571937296296296,1.9040231481481487,1.0811490166666664,0.18093165032845657,0.05177219615149065,0.06402836140967576
3e-07,2.521655777777778,1.8966372222222219,1.0856202648148146,0.13286985772589197,0.049611713499142375,0.07630918153813024
3.25e-07,2.466102555555555,1.8773022592592594,1.0908762166666666,0.17379156116117808,0.044460588409822,0.06251639915762473
3.5e-07,2.548854888888889,1.9066384814814816,1.0899125777777778,0.18901586260933398,0.052468312547508014,0.058894478723553835
3.75e-07,2.482831851851852,1.8904005185185184,1.0846277203703703,0.1726328044197565,0.06524216106133642,0.07093039730411876
3.999999e-07,2.4685811851851858,1.8959735185185183,1.0978008425925927,0.22166892276413072,0.05003374634322865,0.07207123162603736
4.5e-07,2.526365333333334,1.8982357777777776,1.093153114814815,0.15727959188890575,0.04829641797340387,0.054127514770429964
4.999999e-07,2.491690925925926,1.9046969629629629,1.1012987259259257,0.12251374266041005,0.04443402907222373,0.043120481793283386
5.499999e-07,2.4824940740740744,1.9075430370370372,1.0870010666666667,0.17284418474086782,0.039349657830392876,0.05154961487052313
5.999999e-07,2.5204585925925924,1.8964268518518521,1.1109729259259258,0.14933180739330973,0.031626943739070795,0.053371200070426346
6.499999e-07,2.493072037037037,1.8865562592592593,1.0958836796296296,0.11294543212001272,0.037754722504307045,0.05264312759163021
6.999999e-07,2.5281764074074067,1.8877609629629626,1.0765045703703706,0.14048445074080312,0.046526516459041316,0.048516231021451986
7.499999e-07,2.4873456296296297,1.8804863333333333,1.0864410444444446,0.13164776925066995,0.04227640679482445,0.046989608414905674
7.999998e-07,2.4732919629629637,1.887706407407408,1.0952637111111112,0.13563666264980284,0.04132393920151266,0.049005121678433
8.999999e-07,2.5045071851851852,1.8901333703703704,1.0857479148148146,0.09152723260361813,0.03241217196391478,0.03427344633223071
9.999999e-07,2.489298444444444,1.8856604814814817,1.087452648148148,0.11302900801919154,0.03431699589326759,0.031702663231482506
1.1e-06,2.4348321851851855,1.8885918148148146,1.0936379074074074,0.12208266402790731,0.037040731151328055,0.028918932211774422
1.2e-06,2.4875129629629633,1.8820958888888886,1.0911703314814813,0.0895156614323175,0.0342210445587413,0.03324945577969451
1.3e-06,2.4695288148148142,1.8855825555555557,1.1052789629629627,0.10362329778471882,0.03761842881446719,0.03601786332423221
1.4e-06,2.497122481481481,1.8736025555555555,1.0884710925925924,0.10995127201843496,0.03971274727836214,0.029800219245569633
1.5e-06,2.5012734814814817,1.8857807777777778,1.091929,0.11397228801299164,0.035656823060466726,0.035180444641663984
1.6e-06,2.4734870370370374,1.883058592592593,1.0838385740740741,0.10067149353824473,0.026527147070932983,0.031129449586811624
1.8e-06,2.467729333333333,1.877675481481482,1.092670777777778,0.07871727672382237,0.026797028952742146,0.022776739159247404
2e-06,2.4774255185185186,1.8747892962962962,1.0910375555555556,0.06694633558603343,0.030799103430691446,0.025557137403217012
2.2e-06,2.4663610000000005,1.8638425925925928,1.092227592592593,0.08278335107576487,0.031447330250293996,0.024465241663405534
2.4e-06,2.465939037037037,1.876998074074074,1.0907860740740742,0.08811766172965746,0.027812347413714994,0.027049358473156582
2.6e-06,2.4465451481481475,1.8689190740740742,1.0908559629629628,0.0901182605069187,0.023937264192709053,0.024714811816940397
2.799999e-06,2.4505433703703705,1.8649448148148144,1.0925092592592596,0.10980186469041618,0.028184346243756108,0.024113135440764155
2.999999e-06,2.428209851851852,1.8688707407407406,1.0950039074074074,0.08029266500593828,0.02888940190346956,0.020265348286128543
3.199999e-06,2.4684075185185184,1.8634322592592594,1.0962802222222223,0.05989457989660166,0.027258937375816975,0.020333390444971407
3.599999e-06,2.4415727037037027,1.8631758518518515,1.093470425925926,0.0716930900776021,0.02595185761666843,0.018471637365112408
4e-06,2.4461321111111114,1.8617080370370376,1.0922870185185187,0.06013895610958524,0.031546747747479016,0.015006430981281092
4.399999e-06,2.4195504074074075,1.8587263703703703,1.0949178333333334,0.054847736136311616,0.027328821649528087,0.015232197030012155
4.799999e-06,2.4516127407407406,1.8547801851851853,1.0944429444444441,0.06230209811079289,0.029179141522716938,0.013582032662221587
5.199999e-06,2.4325365555555556,1.857506925925926,1.0945924629629633,0.0670624750503331,0.027781382648211828,0.020620276845245172
5.599999e-06,2.4103827777777775,1.854153444444444,1.0885730555555557,0.058260811155262236,0.022842608267646156,0.01869883259716801
5.999999e-06,2.4129868518518522,1.8496373333333334,1.095255388888889,0.05927095580136769,0.027799091160204,0.014978659443325885
6.399999e-06,2.405487962962963,1.8564050370370373,1.0905613703703703,0.05581867396906966,0.026214452850629722,0.013638467386059323
7.199999e-06,2.407556592592593,1.846483148148148,1.094243814814815,0.03533254639926536,0.024062628411130146,0.01326071908847645
7.999999e-06,2.40092437037037,1.8458962592592594,1.0925991666666666,0.055354873408626354,0.02486700249935956,0.013439956530669891
8.799999e-06,2.4011333333333336,1.8402645185185182,1.0940990000000002,0.056493605293316526,0.02651631814474552,0.012159406230934502
9.599999e-06,2.37376711111111,1.840617074074074,1.0912682962962965,0.04106493691372722,0.025383063315009335,0.01126298872517057
1.04e-05,2.3823574814814803,1.835636037037037,1.092046962962963,0.04949565910661059,0.02629713545656353,0.015458353046963136
1.12e-05,2.3732084814814813,1.8337108148148147,1.0911866481481478,0.041278090613473206,0.0254256886589237,0.013230528306348518
1.2e-05,2.3674807037037033,1.8341922222222224,1.0969274259259258,0.047417675003389025,0.024750739664717455,0.013070600277526774
1.28e-05,2.384790888888889,1.8343710000000002,1.0920554074074071,0.052861224511351446,0.025223263609436247,0.011468400302600427
1.44e-05,2.3673325925925925,1.8272648888888885,1.0921097592592592,0.04134578888696973,0.02560565073244769,0.01157617932546733
1.6e-05,2.3626177037037035,1.8258571481481478,1.0929029259259262,0.039065593989648525,0.02472058637939269,0.008949940328482758
1.76e-05,2.360949148148148,1.8251498888888888,1.093900740740741,0.04116180501180561,0.025017044168198225,0.00936605961493746
1.92e-05,2.3572300370370374,1.822243,1.0925486481481483,0.04456478685679109,0.02476614952204213,0.00981375617325252
2.08e-05,2.3515692222222224,1.8195375185185185,1.0919367222222223,0.038911744871100024,0.02556671216332383,0.008746013232317721
2.24e-05,2.34459562962963,1.8166063333333329,1.0922027777777774,0.03900881320281941,0.024708834797234708,0.009597274579693157
2.4e-05,2.342501518518518,1.815486222222222,1.0935620555555556,0.04252937146592565,0.025135488281229048,0.011420691977181343
2.559999e-05,2.3429741481481483,1.816064777777778,1.089858851851852,0.042288627238961436,0.02438707610726896,0.010033328398683566
